Nested Sampling Global Log-Evidence           :    0.288127631681994717E+05  +/-    0.251060651670970580E+00
Nested Importance Sampling Global Log-Evidence:    0.288106386091577951E+05  +/-    0.294330226116014393E-01

Dim No.       Mean        Sigma
   1    0.146921395341929468E+03    0.293034753416137654E+02
   2    0.661688867473604176E+02    0.378237341602193666E+02
   3    0.323455492142723333E+01    0.159267344766162644E+01
   4    0.403520129439957520E+00    0.290369370989175424E+00
   5   -0.939681258544846743E+00    0.193311612267597244E+00
   6   -0.132910129558952206E+01    0.413903874528882887E+00
   7   -0.524287464220496435E+01    0.168416450873313472E+01
   8   -0.607678478728831717E+01    0.109305935046453651E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.162473517492185948E+03
   2    0.284714807975584172E+02
   3    0.341033008688648298E+01
   4    0.447494666556831344E+00
   5   -0.761932944746025242E+00
   6   -0.822900601456209912E+00
   7   -0.705945595009255200E+01
   8   -0.709169402269995786E+01

MAP Parameters
Dim No.        Parameter
   1    0.162473517492185948E+03
   2    0.284714807975584172E+02
   3    0.341033008688648298E+01
   4    0.447494666556831344E+00
   5   -0.761932944746025242E+00
   6   -0.822900601456209912E+00
   7   -0.705945595009255200E+01
   8   -0.709169402269995786E+01
