Nested Sampling Global Log-Evidence           :    0.288204148512747743E+05  +/-    0.212704249504740567E+00
Nested Importance Sampling Global Log-Evidence:    0.288172640745656827E+05  +/-    0.536061740157198277E-01

Dim No.       Mean        Sigma
   1    0.306734851167243278E+03    0.817595573627150429E+02
   2    0.217650396341539249E+03    0.109864895646455622E+03
   3    0.120183188372538630E+01    0.189696827992939077E+01
   4   -0.223445568567143216E+01    0.608495885419155225E+00
   5   -0.443871677651170504E+01    0.914716392443947091E+00
   6    0.593977807260089197E+00    0.981030398854449009E-01
   7   -0.192072863516048553E+01    0.639853150389729008E+00
   8   -0.215741365518787109E+01    0.102305993613930535E+01
   9   -0.568804694751723172E+01    0.142804000723106039E+01
  10   -0.636124550871971017E+01    0.100513339559373782E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.259206767483925034E+03
   2    0.268840782456575312E+03
   3    0.979829330274368360E+01
   4   -0.233813682306517956E+01
   5   -0.581908571010583042E+01
   6    0.626204524485412639E+00
   7   -0.139962335241112523E+01
   8   -0.979822167363099794E+00
   9   -0.708728482910094915E+01
  10   -0.657229883981402985E+01

MAP Parameters
Dim No.        Parameter
   1    0.259206767483925034E+03
   2    0.268840782456575312E+03
   3    0.979829330274368360E+01
   4   -0.233813682306517956E+01
   5   -0.581908571010583042E+01
   6    0.626204524485412639E+00
   7   -0.139962335241112523E+01
   8   -0.979822167363099794E+00
   9   -0.708728482910094915E+01
  10   -0.657229883981402985E+01
