Nested Sampling Global Log-Evidence           :    0.288026235623476350E+05  +/-    0.318319129152923375E+00
Nested Importance Sampling Global Log-Evidence:    0.287979004370788643E+05  +/-    0.407156947523805990E-01

Dim No.       Mean        Sigma
   1    0.435748879835669754E+03    0.103954677302422439E+03
   2    0.237868992756011806E+03    0.134372372365128285E+03
   3    0.918122380584694420E+00    0.167167971867612231E+01
   4   -0.188572425518591680E+01    0.851352061441761787E+00
   5    0.312905052291911762E-01    0.533364582859282010E-01
   6    0.985084625933914815E+01    0.789929744156316338E+00
   7   -0.927048191650885700E+00    0.406023972898814589E+00
   8    0.196640772768108674E+01    0.495700019100662026E+00
   9   -0.246252134958929281E+01    0.121348649193792135E+01
  10    0.936481616660485905E+00    0.505769540339836496E-01
  11    0.718502747779705908E+00    0.232449515623989134E+00
  12    0.202314662155612757E+01    0.299129850128597274E+00
  13   -0.190997843488438090E+01    0.200556199852894546E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.593288316611864047E+03
   2    0.117518018636739114E+03
   3    0.151572633459128081E+01
   4   -0.294831068120847739E+01
   5    0.196401608849861402E-01
   6    0.101464817364848336E+02
   7   -0.657060183541467779E+00
   8    0.153337516745321856E+01
   9   -0.181434983144115414E+01
  10    0.990538898703336113E+00
  11    0.732688335372770450E+00
  12    0.206150485912331494E+01
  13    0.959972661273151395E+00

MAP Parameters
Dim No.        Parameter
   1    0.593288316611864047E+03
   2    0.117518018636739114E+03
   3    0.151572633459128081E+01
   4   -0.294831068120847739E+01
   5    0.196401608849861402E-01
   6    0.101464817364848336E+02
   7   -0.657060183541467779E+00
   8    0.153337516745321856E+01
   9   -0.181434983144115414E+01
  10    0.990538898703336113E+00
  11    0.732688335372770450E+00
  12    0.206150485912331494E+01
  13    0.959972661273151395E+00
