Nested Sampling Global Log-Evidence           :    0.288026673228100008E+05  +/-    0.312916259160793908E+00
Nested Importance Sampling Global Log-Evidence:    0.287981272802589301E+05  +/-    0.458308369571171631E-01

Dim No.       Mean        Sigma
   1    0.326463971271645732E+03    0.946775483628973973E+02
   2    0.243696906988002183E+03    0.137047135171552981E+03
   3    0.961657466072719180E+00    0.161290649388219443E+01
   4   -0.165835027531885726E+01    0.949117899428639000E+00
   5    0.624131536062317166E-01    0.112052993920672458E+00
   6    0.926387525372124898E+01    0.123994146095430779E+01
   7   -0.103712225428307092E+01    0.660012187971346531E+00
   8    0.209226240823438836E+01    0.456957467738419998E+00
   9   -0.195460454923309124E+01    0.100902583581754768E+01
  10    0.942558099603615251E+00    0.444902845543406061E-01
  11    0.654282174042865372E+00    0.237637172807251495E+00
  12    0.165969039901159632E+01    0.593554748865237181E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.194184778913296498E+03
   2    0.324616407079981968E+03
   3    0.311589797270087843E+00
   4   -0.259328960818054011E+01
   5    0.152150182974687576E+00
   6    0.918458290778913167E+01
   7   -0.330748980522310276E+00
   8    0.161565592071287445E+01
   9   -0.304231833709040700E+01
  10    0.991370341032307256E+00
  11    0.117630569326170287E+01
  12    0.685400774065911489E+00

MAP Parameters
Dim No.        Parameter
   1    0.194184778913296498E+03
   2    0.324616407079981968E+03
   3    0.311589797270087843E+00
   4   -0.259328960818054011E+01
   5    0.152150182974687576E+00
   6    0.918458290778913167E+01
   7   -0.330748980522310276E+00
   8    0.161565592071287445E+01
   9   -0.304231833709040700E+01
  10    0.991370341032307256E+00
  11    0.117630569326170287E+01
  12    0.685400774065911489E+00
