Nested Sampling Global Log-Evidence           :    0.288032902863742420E+05  +/-    0.312583214122762021E+00
Nested Importance Sampling Global Log-Evidence:    0.287990439049582237E+05  +/-    0.981441573702352410E-01

Dim No.       Mean        Sigma
   1    0.247892357120613724E+03    0.577559040217824773E+02
   2    0.125043130431503201E+03    0.663188215969538248E+02
   3    0.920246684887738198E+00    0.160589265877001197E+01
   4   -0.213422373578735147E+01    0.675385997181005560E+00
   5    0.434714664989776581E-01    0.702447556588350341E-01
   6    0.970874540221217508E+01    0.779187685620465031E+00
   7   -0.829009334770786532E+00    0.375436579739534704E+00
   8    0.193646282244806756E+01    0.499213136759682319E+00
   9   -0.231834615636173469E+01    0.123113415092641310E+01
  10    0.949938394600957636E+00    0.409297614934606147E-01
  11   -0.479396936735659907E+01    0.168571195325879075E+01
  12   -0.440755051130992381E+01    0.182967863800194341E+01
  13   -0.528129621434426344E+01    0.175625291398376526E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.297546534669289201E+03
   2    0.158499832419384347E+03
   3    0.612662197396971253E+00
   4   -0.280637350423899923E+01
   5    0.237307889181874974E-02
   6    0.107235269720643167E+02
   7   -0.917988223696947436E+00
   8    0.198654720432513865E+01
   9   -0.103201318602567760E+01
  10    0.998877512885744667E+00
  11   -0.296684506851603924E+01
  12   -0.505831435298919185E+01
  13   -0.562296619924788921E+01

MAP Parameters
Dim No.        Parameter
   1    0.297546534669289201E+03
   2    0.158499832419384347E+03
   3    0.612662197396971253E+00
   4   -0.280637350423899923E+01
   5    0.237307889181874974E-02
   6    0.107235269720643167E+02
   7   -0.917988223696947436E+00
   8    0.198654720432513865E+01
   9   -0.103201318602567760E+01
  10    0.998877512885744667E+00
  11   -0.296684506851603924E+01
  12   -0.505831435298919185E+01
  13   -0.562296619924788921E+01
