Nested Sampling Global Log-Evidence           :    0.288196826909388437E+05  +/-    0.367399061001049243E+00
Nested Importance Sampling Global Log-Evidence:    0.288151832818334515E+05  +/-    0.777602881610458124E-01

Dim No.       Mean        Sigma
   1    0.286941678963327604E+03    0.520210402115393364E+02
   2    0.158754466959768536E+03    0.805928820325157744E+02
   3    0.110390565531454077E+01    0.180919774760353702E+01
   4   -0.215463978043566184E+01    0.477229887587616253E+00
   5    0.787142445262072610E-01    0.144584376981688717E+00
   6    0.948622416165233773E+01    0.876431837064897468E+00
   7   -0.893971779422535029E+00    0.348021720519899880E+00
   8    0.205193001906205907E+01    0.536717070976260979E+00
   9   -0.411701094082849561E+01    0.132248045163949590E+01
  10    0.631297386238207747E+00    0.638573144315170566E-01
  11   -0.145300933589241144E+01    0.465288955574009566E+00
  12   -0.551247973511778255E+01    0.140398591761857539E+01
  13   -0.654073281138946072E+01    0.909264378908500093E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.276484766869745386E+03
   2    0.149418060995207441E+03
   3    0.423724716661928369E+01
   4   -0.207692802134804255E+01
   5    0.275250020110544063E-02
   6    0.106568861557704349E+02
   7   -0.626803864279086298E+00
   8    0.178458062326111522E+01
   9   -0.499874182813744028E+01
  10    0.647065802150197267E+00
  11   -0.132619247517303407E+01
  12   -0.661581395923217830E+01
  13   -0.697850161754121423E+01

MAP Parameters
Dim No.        Parameter
   1    0.276484766869745386E+03
   2    0.149418060995207441E+03
   3    0.423724716661928369E+01
   4   -0.207692802134804255E+01
   5    0.275250020110544063E-02
   6    0.106568861557704349E+02
   7   -0.626803864279086298E+00
   8    0.178458062326111522E+01
   9   -0.499874182813744028E+01
  10    0.647065802150197267E+00
  11   -0.132619247517303407E+01
  12   -0.661581395923217830E+01
  13   -0.697850161754121423E+01
