Nested Sampling Global Log-Evidence           :    0.288229565814342823E+05  +/-    0.352075174531212454E+00
Nested Importance Sampling Global Log-Evidence:    0.288182174806254261E+05  +/-    0.729528085741209115E-01

Dim No.       Mean        Sigma
   1    0.291048531894499888E+03    0.574245830553427083E+02
   2    0.166268943892620115E+03    0.881378523709933148E+02
   3    0.125537807270492019E+01    0.197767294612019251E+01
   4   -0.212709322494568953E+01    0.527238423233921449E+00
   5    0.705666960489081951E-01    0.127501252152657285E+00
   6    0.962907443094903748E+01    0.880381239902054746E+00
   7   -0.114973099946640600E+01    0.579001870141547026E+00
   8    0.200359901850547706E+01    0.516419130657407188E+00
   9   -0.331098693143235323E+01    0.156646317260748535E+01
  10    0.546804172392407750E+00    0.724038713962296687E-01
  11   -0.153394394646487320E+01    0.488246242335208525E+00
  12   -0.229311910005369990E+01    0.830252352664221038E+00
  13   -0.651774042529348563E+01    0.885915453830950272E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.298337164263813804E+03
   2    0.188077900883258508E+03
   3    0.778190996100549093E+00
   4   -0.217102446057845544E+01
   5    0.332673733642028235E-01
   6    0.971830742891244270E+01
   7   -0.902592078201722714E+00
   8    0.152467253325976415E+01
   9   -0.499393265374313078E+01
  10    0.560085922027478755E+00
  11   -0.138061838148478166E+01
  12   -0.199649579619313755E+01
  13   -0.678719697093124275E+01

MAP Parameters
Dim No.        Parameter
   1    0.298337164263813804E+03
   2    0.188077900883258508E+03
   3    0.778190996100549093E+00
   4   -0.217102446057845544E+01
   5    0.332673733642028235E-01
   6    0.971830742891244270E+01
   7   -0.902592078201722714E+00
   8    0.152467253325976415E+01
   9   -0.499393265374313078E+01
  10    0.560085922027478755E+00
  11   -0.138061838148478166E+01
  12   -0.199649579619313755E+01
  13   -0.678719697093124275E+01
