Nested Sampling Global Log-Evidence           :    0.288235813122125255E+05  +/-    0.341380100909572437E+00
Nested Importance Sampling Global Log-Evidence:    0.288190432523669151E+05  +/-    0.421156523308890696E-01

Dim No.       Mean        Sigma
   1    0.272828770566624030E+03    0.671862481001446383E+02
   2    0.199279062446639472E+03    0.892816981383410280E+02
   3    0.114684843366686584E+01    0.174691717168660343E+01
   4   -0.204410089357713165E+01    0.532381120626152726E+00
   5    0.890277251451556811E-01    0.145768803201197505E+00
   6    0.953719437355649546E+01    0.928887144570389900E+00
   7   -0.106977878605293064E+01    0.515929580914494257E+00
   8    0.199754541891839255E+01    0.525662833496107207E+00
   9   -0.339180017548676638E+01    0.146246036080379449E+01
  10    0.553835787569954663E+00    0.757104923463486762E-01
  11   -0.160938903451050797E+01    0.528860449671796462E+00
  12   -0.241736679649970032E+01    0.968971762048770668E+00
  13   -0.577961309879581275E+01    0.126663274364981260E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.299583637982977052E+03
   2    0.160039135082079611E+03
   3    0.636593944093438391E+00
   4   -0.221026079052240787E+01
   5    0.349633547953079066E-02
   6    0.105534414834006629E+02
   7   -0.101706124177193402E+01
   8    0.119535477702773307E+01
   9   -0.479049741540716134E+01
  10    0.581240823825131647E+00
  11   -0.172038700724046034E+01
  12   -0.217999684041141073E+01
  13   -0.684870831629596211E+01

MAP Parameters
Dim No.        Parameter
   1    0.299583637982977052E+03
   2    0.160039135082079611E+03
   3    0.636593944093438391E+00
   4   -0.221026079052240787E+01
   5    0.349633547953079066E-02
   6    0.105534414834006629E+02
   7   -0.101706124177193402E+01
   8    0.119535477702773307E+01
   9   -0.479049741540716134E+01
  10    0.581240823825131647E+00
  11   -0.172038700724046034E+01
  12   -0.217999684041141073E+01
  13   -0.684870831629596211E+01
