Nested Sampling Global Log-Evidence           :    0.288234118154014359E+05  +/-    0.340444302885120842E+00
Nested Importance Sampling Global Log-Evidence:    0.288191555012453464E+05  +/-    0.791450932073509000E-01

Dim No.       Mean        Sigma
   1    0.289560773378931344E+03    0.529808764952170819E+02
   2    0.170473167570627794E+03    0.807284937554705380E+02
   3    0.206327524250758687E+01    0.230868404844228259E+01
   4   -0.212787299938928287E+01    0.496542243886426093E+00
   5    0.286474782369302128E+00    0.929848724622915457E+00
   6    0.957357291318499470E+01    0.114702208757261626E+01
   7   -0.109688581214492786E+01    0.574268048655468100E+00
   8    0.194845321376238956E+01    0.513298951888475297E+00
   9   -0.324289576883497155E+01    0.151280863192307735E+01
  10    0.539936322400895619E+00    0.701345305772034661E-01
  11   -0.178988970678847981E+01    0.566929808820279879E+00
  12   -0.242323302857557987E+01    0.882684293718702828E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.284002623981940417E+03
   2    0.960998881056877536E+02
   3    0.838393103812325791E+01
   4   -0.206311085858952215E+01
   5    0.993298529762425692E-01
   6    0.911772632025801677E+01
   7   -0.870750586856290809E+00
   8    0.152766729390234302E+01
   9   -0.494862199970997274E+01
  10    0.587926542640320182E+00
  11   -0.146165795298534285E+01
  12   -0.295974483290867330E+01

MAP Parameters
Dim No.        Parameter
   1    0.284002623981940417E+03
   2    0.960998881056877536E+02
   3    0.838393103812325791E+01
   4   -0.206311085858952215E+01
   5    0.993298529762425692E-01
   6    0.911772632025801677E+01
   7   -0.870750586856290809E+00
   8    0.152766729390234302E+01
   9   -0.494862199970997274E+01
  10    0.587926542640320182E+00
  11   -0.146165795298534285E+01
  12   -0.295974483290867330E+01
