Nested Sampling Global Log-Evidence           :    0.288236837347517758E+05  +/-    0.342434379398551703E+00
Nested Importance Sampling Global Log-Evidence:    0.288196835498983601E+05  +/-    0.128985513334200386E+00

Dim No.       Mean        Sigma
   1    0.286029010180696275E+03    0.596497444054045971E+02
   2    0.161871752966238972E+03    0.853325143448063272E+02
   3    0.116961902861696410E+01    0.188734229800282294E+01
   4   -0.210380145885992587E+01    0.497820323580201063E+00
   5    0.837317194414957389E-01    0.141188100634362046E+00
   6    0.949069277348298534E+01    0.946060316906333965E+00
   7   -0.117230304255157192E+01    0.614000323154807903E+00
   8    0.205412286081966933E+01    0.515662887312599016E+00
   9   -0.345503942827130350E+01    0.149446020869813601E+01
  10    0.548801881223673460E+00    0.699038589218132778E-01
  11   -0.176351318123879675E+01    0.491655877025883703E+00
  12   -0.263949703629507137E+01    0.101461475726258055E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.309210799386769963E+03
   2    0.183934197593322779E+03
   3    0.165322180516623396E+00
   4   -0.225100617542184667E+01
   5    0.131348030786711039E-02
   6    0.109878871734751886E+02
   7   -0.975698838635146615E+00
   8    0.115328165300911922E+01
   9   -0.487960587643620514E+01
  10    0.573290736851861049E+00
  11   -0.138754891783549095E+01
  12   -0.205942419012995170E+01

MAP Parameters
Dim No.        Parameter
   1    0.309210799386769963E+03
   2    0.183934197593322779E+03
   3    0.165322180516623396E+00
   4   -0.225100617542184667E+01
   5    0.131348030786711039E-02
   6    0.109878871734751886E+02
   7   -0.975698838635146615E+00
   8    0.115328165300911922E+01
   9   -0.487960587643620514E+01
  10    0.573290736851861049E+00
  11   -0.138754891783549095E+01
  12   -0.205942419012995170E+01
