Nested Sampling Global Log-Evidence           :    0.288189322788251811E+05  +/-    0.303249197673076842E+00
Nested Importance Sampling Global Log-Evidence:    0.288139422129187551E+05  +/-    0.103928723624613931E+00

Dim No.       Mean        Sigma
   1    0.220017490061023494E+03    0.603945868876498295E+02
   2    0.119298545343628007E+03    0.805164711951694585E+02
   3    0.271605115554081245E+01    0.154782596702033182E+01
   4   -0.115702004758469634E+01    0.563672948853818356E+00
   5   -0.302457878931128654E+01    0.160044227788085958E+01
   6    0.157996583583906136E+01    0.521664757039552729E+00
   7   -0.274509109032010290E+01    0.129937937360197164E+01
   8    0.390305856813315186E-01    0.982637598130390200E+00
   9    0.200333027942604947E+01    0.503392700558880413E+00
  10   -0.201746566625994994E+01    0.501601160854842187E+00
  11   -0.243763395792199145E+01    0.101362833583462542E+01
  12   -0.525533198928879486E+01    0.154617044800537506E+01
  13   -0.648168943985545898E+01    0.102363563185398410E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.129090051851052152E+03
   2    0.979298083599210969E+02
   3    0.690457289250517192E+00
   4   -0.194272410898603809E+00
   5   -0.356812646065827899E+01
   6    0.160404221182811746E+01
   7   -0.538134807325937725E+01
   8    0.164719364180442174E+01
   9    0.200410195699414562E+01
  10   -0.210579592626863477E+01
  11   -0.181186875709311046E+01
  12   -0.631740343518991754E+01
  13   -0.640119364732944707E+01

MAP Parameters
Dim No.        Parameter
   1    0.129090051851052152E+03
   2    0.979298083599210969E+02
   3    0.690457289250517192E+00
   4   -0.194272410898603809E+00
   5   -0.356812646065827899E+01
   6    0.160404221182811746E+01
   7   -0.538134807325937725E+01
   8    0.164719364180442174E+01
   9    0.200410195699414562E+01
  10   -0.210579592626863477E+01
  11   -0.181186875709311046E+01
  12   -0.631740343518991754E+01
  13   -0.640119364732944707E+01
