Nested Sampling Global Log-Evidence           :    0.288236489805050114E+05  +/-    0.346518230604045685E+00
Nested Importance Sampling Global Log-Evidence:    0.288181086472181159E+05  +/-    0.659408355561247050E-01

Dim No.       Mean        Sigma
   1    0.273883132809599772E+03    0.748820755133141063E+02
   2    0.187624798580894748E+03    0.964474444950103447E+02
   3    0.103707292627057113E+01    0.174465663002824045E+01
   4   -0.199937704846896436E+01    0.622123293477802819E+00
   5    0.859188135262867608E-01    0.146638751447917881E+00
   6    0.955392211984607975E+01    0.927286927956425866E+00
   7   -0.104950296433129875E+01    0.527407061945499467E+00
   8    0.205272350004289139E+01    0.517689601734739213E+00
   9   -0.341112917413245720E+01    0.157220779364738616E+01
  10    0.559794117550000192E+00    0.739036159600665599E-01
  11   -0.145335170490098209E+01    0.485873744968469135E+00
  12   -0.211674796060718284E+01    0.865152520151882043E+00
  13   -0.565386580562639196E+01    0.138048557387211757E+01
  14   -0.649647309065132816E+01    0.850938787625159954E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.301260333097649266E+03
   2    0.242596849053876127E+03
   3    0.790037507778117987E-01
   4   -0.233298863064012085E+01
   5    0.140333155126915517E-01
   6    0.987095568078388652E+01
   7   -0.905268885082798569E+00
   8    0.268065889757694586E+01
   9   -0.498549458729883366E+01
  10    0.547975865741643142E+00
  11   -0.164212329440176319E+01
  12   -0.241073316411479688E+01
  13   -0.655336186773386409E+01
  14   -0.551290402310545335E+01

MAP Parameters
Dim No.        Parameter
   1    0.301260333097649266E+03
   2    0.242596849053876127E+03
   3    0.790037507778117987E-01
   4   -0.233298863064012085E+01
   5    0.140333155126915517E-01
   6    0.987095568078388652E+01
   7   -0.905268885082798569E+00
   8    0.268065889757694586E+01
   9   -0.498549458729883366E+01
  10    0.547975865741643142E+00
  11   -0.164212329440176319E+01
  12   -0.241073316411479688E+01
  13   -0.655336186773386409E+01
  14   -0.551290402310545335E+01
