Nested Sampling Global Log-Evidence           :    0.288203263356984171E+05  +/-    0.428008422620698159E+00
Nested Importance Sampling Global Log-Evidence:    0.288161594070471256E+05  +/-    0.137644829122738122E+00

Dim No.       Mean        Sigma
   1    0.256080496181352316E+03    0.794518625052204897E+02
   2    0.247782138821901441E+03    0.984389109493714329E+02
   3    0.257081068077755814E+01    0.155984364466330394E+01
   4   -0.192724084578965060E+01    0.724469103185156227E+00
   5   -0.451257484885320359E+01    0.949888195077071451E+00
   6    0.614273741103163462E+00    0.869524134238228580E-01
   7   -0.182935486291522231E+01    0.585773621051266846E+00
   8   -0.212758399417731026E+01    0.917089560349842348E+00
   9   -0.555361191313810920E+01    0.149037168148710331E+01
  10   -0.589857468285315623E+01    0.945590232993228641E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.224317699018751398E+03
   2    0.287795254995211678E+03
   3    0.459100876783924150E+01
   4   -0.197328571523740925E+01
   5   -0.506307530072218359E+01
   6    0.646374513218137103E+00
   7   -0.165844608257978532E+01
   8   -0.130795152105547707E+01
   9   -0.705543185974329834E+01
  10   -0.647045112913851295E+01

MAP Parameters
Dim No.        Parameter
   1    0.224317699018751398E+03
   2    0.287795254995211678E+03
   3    0.459100876783924150E+01
   4   -0.197328571523740925E+01
   5   -0.506307530072218359E+01
   6    0.646374513218137103E+00
   7   -0.165844608257978532E+01
   8   -0.130795152105547707E+01
   9   -0.705543185974329834E+01
  10   -0.647045112913851295E+01
