Nested Sampling Global Log-Evidence           :    0.285435842149675773E+05  +/-    0.625570216518206323E+00
Nested Importance Sampling Global Log-Evidence:    0.285432677764340006E+05  +/-    0.715884044144050602E-01

Dim No.       Mean        Sigma
   1    0.875533262326203499E+03    0.364864703616977604E+01
   2    0.136818282661967174E+02    0.107677795578635283E+01
   3   -0.353629219316417998E+00    0.620134188055830159E-02
   4   -0.210567211665710996E+01    0.207765499066282416E+00
   5   -0.164007207293007418E+01    0.111968939629656858E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.878766378664642502E+03
   2    0.144548864037156743E+02
   3   -0.358227409008636144E+00
   4   -0.204691730959424323E+01
   5   -0.152076787229161159E+01

MAP Parameters
Dim No.        Parameter
   1    0.878766378664642502E+03
   2    0.144548864037156743E+02
   3   -0.358227409008636144E+00
   4   -0.204691730959424323E+01
   5   -0.152076787229161159E+01
