Nested Sampling Global Log-Evidence           :    0.286533791577277188E+05  +/-    0.287213406154316064E+00
Nested Importance Sampling Global Log-Evidence:    0.286532216890986201E+05  +/-    0.279172241557084609E-01

Dim No.       Mean        Sigma
   1    0.909269655002295394E+03    0.204818560565727701E+02
   2   -0.822586325677214791E+00    0.118203926182159205E+00
   3   -0.270024989594412634E+01    0.675114924553805063E+00
   4   -0.225810217786281076E+01    0.739114372602323155E+00
   5   -0.454190528493732482E+00    0.447119518360895585E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.912882653377469751E+03
   2   -0.832112954987803910E+00
   3   -0.219627521517237856E+01
   4   -0.166335601542978129E+01
   5   -0.453792515908625127E+00

MAP Parameters
Dim No.        Parameter
   1    0.912882653377469751E+03
   2   -0.832112954987803910E+00
   3   -0.219627521517237856E+01
   4   -0.166335601542978129E+01
   5   -0.453792515908625127E+00
