Nested Sampling Global Log-Evidence           :    0.288188002084415348E+05  +/-    0.225290340515114790E+00
Nested Importance Sampling Global Log-Evidence:   -0.818562354501506523E-01  +/-    0.658745789415740995E-01

Dim No.       Mean        Sigma
   1    0.515934238993096074E+03    0.166041291469065264E+02
   2   -0.550411198198233809E+01    0.244206644127481720E+00
   3   -0.148321658960937297E+01    0.220428125485790405E+01
   4    0.803273514470443928E+00    0.428257877341568019E-01
   5    0.787002716992460050E+00    0.277426209462238615E+00
   6    0.543796855567538095E+00    0.285975889160815455E+00
   7   -0.816811918328510300E+00    0.569324847037387949E+00
   8   -0.109318662248549692E+01    0.782463758186010439E+00
   9   -0.469390932889738099E+01    0.167206331929211638E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.517597784819712842E+03
   2   -0.539097995352050852E+01
   3   -0.201974789505043262E+01
   4    0.826003717318759989E+00
   5    0.906513136585108015E+00
   6    0.746684364418032986E+00
   7   -0.445976985920035318E+00
   8   -0.253493228933683312E+00
   9   -0.561733916129027122E+01

MAP Parameters
Dim No.        Parameter
   1    0.530725633479163207E+03
   2   -0.545165658716703838E+01
   3   -0.383265042862626526E+01
   4    0.795660955890462818E+00
   5    0.840603889721577735E+00
   6    0.104529054929800869E+01
   7   -0.235695156581015475E+00
   8   -0.544323832478320391E+00
   9   -0.366142648524981773E+01
