Nested Sampling Global Log-Evidence           :    0.287991258952101089E+05  +/-    0.196923418401850236E+00
Nested Importance Sampling Global Log-Evidence:    0.287980097062198402E+05  +/-    0.132279840110205382E+00

Dim No.       Mean        Sigma
   1    0.584015876062696293E+03    0.790075529925363185E+02
   2   -0.430366135480791456E+01    0.853057732505434818E+00
   3    0.948852473420166875E+00    0.393585204731185315E-01
   4   -0.479053418553211685E+01    0.153498056538908756E+01
   5   -0.501417291647616548E+01    0.159183475637956473E+01
   6   -0.614304527990771554E+01    0.110994078131256058E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.618581725368223033E+03
   2   -0.367207505896670172E+01
   3    0.996339290715316905E+00
   4   -0.374545624767639396E+01
   5   -0.580316926233489028E+01
   6   -0.622129433702519918E+01

MAP Parameters
Dim No.        Parameter
   1    0.618581725368223033E+03
   2   -0.367207505896670172E+01
   3    0.996339290715316905E+00
   4   -0.374545624767639396E+01
   5   -0.580316926233489028E+01
   6   -0.622129433702519918E+01
