Nested Sampling Global Log-Evidence           :    0.288152935549105605E+05  +/-    0.212367878606841420E+00
Nested Importance Sampling Global Log-Evidence:    0.288143237500017349E+05  +/-    0.954657236136978032E-01

Dim No.       Mean        Sigma
   1    0.532393468352032528E+03    0.308551820711335907E+02
   2   -0.522969154740898912E+01    0.503813818515796652E+00
   3    0.816323368009217787E+00    0.438298822574287039E-01
   4   -0.235780724251431506E+01    0.632805735263808788E+00
   5   -0.551073572881367291E+01    0.153811615382652755E+01
   6   -0.637857753798631855E+01    0.107517657641904529E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.504937497945647920E+03
   2   -0.580329932639354418E+01
   3    0.773947482127934294E+00
   4   -0.259580549409011585E+01
   5   -0.518783289345184073E+01
   6   -0.784514213096159807E+01

MAP Parameters
Dim No.        Parameter
   1    0.504937497945647920E+03
   2   -0.580329932639354418E+01
   3    0.773947482127934294E+00
   4   -0.259580549409011585E+01
   5   -0.518783289345184073E+01
   6   -0.784514213096159807E+01
