Nested Sampling Global Log-Evidence           :    0.288065335731457308E+05  +/-    0.423794687226480005E+00
Nested Importance Sampling Global Log-Evidence:    0.288041499251656278E+05  +/-    0.619461667479656808E+00

Dim No.       Mean        Sigma
   1    0.456113147198710806E+03    0.121255270566580702E+02
   2    0.432097594608211455E-01    0.370191908855407731E-01
   3    0.102249516887763114E+02    0.351569842002265098E+00
   4   -0.415098145259997275E+00    0.281587590918807973E+00
   5    0.206981221622054656E+01    0.498655014051363699E+00
   6   -0.144883121959956762E+01    0.177070624585702663E+01
   7   -0.468952885801066710E+01    0.183788437496246293E+01
   8   -0.480427588214276202E+01    0.173401647560963745E+01
   9   -0.480174599613005082E+01    0.165884573866639484E+01
  10   -0.534216813115111222E+01    0.157016807472205833E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.566971504060939765E+03
   2    0.227913256868395142E+00
   3    0.115954347967918956E+02
   4   -0.247145798296650998E+01
   5    0.188351952883355245E+01
   6   -0.251024972222221487E+01
   7   -0.326059451885378060E+01
   8   -0.598160230350001765E+01
   9   -0.377736803074590988E+01
  10   -0.487753854857519009E+01

MAP Parameters
Dim No.        Parameter
   1    0.566971504060939765E+03
   2    0.227913256868395142E+00
   3    0.115954347967918956E+02
   4   -0.247145798296650998E+01
   5    0.188351952883355245E+01
   6   -0.251024972222221487E+01
   7   -0.326059451885378060E+01
   8   -0.598160230350001765E+01
   9   -0.377736803074590988E+01
  10   -0.487753854857519009E+01
