Nested Sampling Global Log-Evidence           :    0.288102354729747203E+05  +/-    0.503008892091768467E+00
Nested Importance Sampling Global Log-Evidence:    0.288059540423608269E+05  +/-    0.791840716998977290E+00

Dim No.       Mean        Sigma
   1    0.570309603165123804E+03    0.264415528492118810E+02
   2    0.812771643923956955E+00    0.577129825210707548E+00
   3    0.101506199610030805E+02    0.958309229045898325E+00
   4   -0.191467644704141593E+01    0.832292383463102081E+00
   5    0.149298815698903597E+01    0.463501081717438645E+00
   6   -0.217891290488821099E+01    0.584865005731655452E+00
   7   -0.213901443119226409E+01    0.719106017407284970E+00
   8   -0.225712489295996166E+01    0.599064897737265900E+00
   9   -0.411407092576145761E+01    0.733220243405188321E+00
  10   -0.644458751570987776E+01    0.641289640282616924E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.566630972822842523E+03
   2    0.480171508745677766E+00
   3    0.108767269467560936E+02
   4   -0.209888523241033553E+01
   5    0.120301322863890370E+01
   6   -0.214792403204630888E+01
   7   -0.213593498590275832E+01
   8   -0.231843718442133184E+01
   9   -0.381984966867486708E+01
  10   -0.652056383536883200E+01

MAP Parameters
Dim No.        Parameter
   1    0.566630972822842523E+03
   2    0.480171508745677766E+00
   3    0.108767269467560936E+02
   4   -0.209888523241033553E+01
   5    0.120301322863890370E+01
   6   -0.214792403204630888E+01
   7   -0.213593498590275832E+01
   8   -0.231843718442133184E+01
   9   -0.381984966867486708E+01
  10   -0.652056383536883200E+01
