Nested Sampling Global Log-Evidence           :    0.288208899127937584E+05  +/-    0.249281778369042084E+00
Nested Importance Sampling Global Log-Evidence:    0.288177389227931562E+05  +/-    0.100865576163403012E+00

Dim No.       Mean        Sigma
   1    0.504361663965075536E+03    0.914503505112599768E+01
   2    0.442170385993135642E-01    0.791581033916410881E-01
   3    0.109206587554656505E+02    0.626393022794909604E+00
   4   -0.473277129806140451E+00    0.272043991105243410E+00
   5    0.198598468504844949E+01    0.533435017675241374E+00
   6   -0.265166253415392328E+01    0.139219371126087466E+01
   7    0.771737196367446310E+00    0.324530243111296052E-01
   8   -0.210253240086744109E+01    0.492659712208646072E+00
   9   -0.296090756442363734E+01    0.100545355943557846E+01
  10   -0.569208531761037140E+01    0.138426923362856846E+01
  11   -0.634466946905857920E+01    0.993122871520846995E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.498347486765858719E+03
   2    0.458125090769335580E-01
   3    0.105045838105435898E+02
   4   -0.389325186746129148E+00
   5    0.139599980021916670E+01
   6   -0.345407209018263206E+01
   7    0.780685856226782438E+00
   8   -0.198210635418672787E+01
   9   -0.260267998648860654E+01
  10   -0.717982589695115703E+01
  11   -0.626690632504719503E+01

MAP Parameters
Dim No.        Parameter
   1    0.498347486765858719E+03
   2    0.458125090769335580E-01
   3    0.105045838105435898E+02
   4   -0.389325186746129148E+00
   5    0.139599980021916670E+01
   6   -0.345407209018263206E+01
   7    0.780685856226782438E+00
   8   -0.198210635418672787E+01
   9   -0.260267998648860654E+01
  10   -0.717982589695115703E+01
  11   -0.626690632504719503E+01
