Nested Sampling Global Log-Evidence           :    0.288044215519537975E+05  +/-    0.320572824776752086E+00
Nested Importance Sampling Global Log-Evidence:    0.288004740362148113E+05  +/-    0.346608245650769503E-01

Dim No.       Mean        Sigma
   1    0.462910033057190674E+03    0.982409173229114074E+01
   2    0.307605926260499825E-01    0.535236061712095132E-01
   3    0.106804083696638958E+02    0.629255243825291521E+00
   4   -0.403822133573193576E+00    0.216868769534864253E+00
   5    0.202474430502714631E+01    0.518253250794133979E+00
   6   -0.254822666577880419E+01    0.135721621272477533E+01
   7    0.963206286795217914E+00    0.317235082491708759E-01
   8   -0.500015474014297823E+01    0.168925046045163230E+01
   9   -0.485863716921675159E+01    0.176911344602150744E+01
  10   -0.547605660901239588E+01    0.160694959429538553E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.456020136137001032E+03
   2    0.144388806523500744E-02
   3    0.117274798761316497E+02
   4   -0.618820904007809425E+00
   5    0.138243268888167670E+01
   6   -0.440156187271535249E+01
   7    0.991279781068974075E+00
   8   -0.445421780828610636E+01
   9   -0.416678552711147443E+01
  10   -0.618271557377239489E+01

MAP Parameters
Dim No.        Parameter
   1    0.456020136137001032E+03
   2    0.144388806523500744E-02
   3    0.117274798761316497E+02
   4   -0.618820904007809425E+00
   5    0.138243268888167670E+01
   6   -0.440156187271535249E+01
   7    0.991279781068974075E+00
   8   -0.445421780828610636E+01
   9   -0.416678552711147443E+01
  10   -0.618271557377239489E+01
