Nested Sampling Global Log-Evidence           :    0.288176467394341817E+05  +/-    0.346303174570633143E+00
Nested Importance Sampling Global Log-Evidence:    0.288143000797379791E+05  +/-    0.344379617957024028E-01

Dim No.       Mean        Sigma
   1    0.495868355614624818E+03    0.752834017818811319E+01
   2    0.292487099536807432E-01    0.476280062080359293E-01
   3    0.109101765035268112E+02    0.620506520909327342E+00
   4   -0.396419522713916561E+00    0.217265590655462221E+00
   5    0.204476417145569744E+01    0.526788984893299062E+00
   6   -0.240224648168598520E+01    0.136218463842367332E+01
   7    0.808625585920308310E+00    0.309720755940333971E-01
   8   -0.200000645903124319E+01    0.472067484850460017E+00
   9   -0.556000145471861185E+01    0.144595236015714912E+01
  10   -0.618199747798202193E+01    0.106430221768885724E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.499452311919944123E+03
   2    0.142639709027423279E-02
   3    0.117799596893468337E+02
   4   -0.526738884276653607E+00
   5    0.218080428938963022E+01
   6   -0.195602952578735056E+01
   7    0.791879736009601598E+00
   8   -0.242363450452129925E+01
   9   -0.641167621936801702E+01
  10   -0.708958513933102541E+01

MAP Parameters
Dim No.        Parameter
   1    0.499452311919944123E+03
   2    0.142639709027423279E-02
   3    0.117799596893468337E+02
   4   -0.526738884276653607E+00
   5    0.218080428938963022E+01
   6   -0.195602952578735056E+01
   7    0.791879736009601598E+00
   8   -0.242363450452129925E+01
   9   -0.641167621936801702E+01
  10   -0.708958513933102541E+01
