Nested Sampling Global Log-Evidence           :    0.288201548968576171E+05  +/-    0.367812804494274448E+00
Nested Importance Sampling Global Log-Evidence:    0.288176724224423488E+05  +/-    0.624817267352560796E-01

Dim No.       Mean        Sigma
   1    0.503480120051720405E+03    0.850684383467898186E+01
   2    0.250919002514400948E-01    0.445925308668694356E-01
   3    0.111073547854457857E+02    0.568207368879001140E+00
   4   -0.496439726757670396E+00    0.271472609971381673E+00
   5    0.202321775219220434E+01    0.518936221867216774E+00
   6   -0.269488445231654605E+01    0.135717028955418684E+01
   7    0.770613090893892627E+00    0.282439968079267259E-01
   8   -0.224816565612006514E+01    0.462423700232995560E+00
   9   -0.309202701333823970E+01    0.915970617870706216E+00
  10   -0.639061592592109928E+01    0.935136704927982509E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.499794738685983305E+03
   2    0.601894995898894902E-02
   3    0.114332286092509499E+02
   4   -0.667229893728077172E+00
   5    0.156057398432864636E+01
   6   -0.467160926188925973E+01
   7    0.780943233448671781E+00
   8   -0.217800122374354377E+01
   9   -0.262714774711714760E+01
  10   -0.759978401482372590E+01

MAP Parameters
Dim No.        Parameter
   1    0.499794738685983305E+03
   2    0.601894995898894902E-02
   3    0.114332286092509499E+02
   4   -0.667229893728077172E+00
   5    0.156057398432864636E+01
   6   -0.467160926188925973E+01
   7    0.780943233448671781E+00
   8   -0.217800122374354377E+01
   9   -0.262714774711714760E+01
  10   -0.759978401482372590E+01
