Nested Sampling Global Log-Evidence           :    0.288218709125330934E+05  +/-    0.338432089045529017E+00
Nested Importance Sampling Global Log-Evidence:    0.288182091292302102E+05  +/-    0.561914985201604697E-01

Dim No.       Mean        Sigma
   1    0.503553748659489088E+03    0.909788257220326457E+01
   2    0.357586033234648451E-01    0.604216727506240031E-01
   3    0.110009853753882823E+02    0.610613979814526808E+00
   4   -0.478912951560907851E+00    0.281766352275064302E+00
   5    0.198975759070284375E+01    0.535825353181476616E+00
   6   -0.274894461330124651E+01    0.139722489015756879E+01
   7    0.771571603084643676E+00    0.336005145635731722E-01
   8   -0.218164488993020500E+01    0.454173027970871501E+00
   9   -0.304362493503051867E+01    0.105595389649377003E+01
  10   -0.582280346755940670E+01    0.140785390259007581E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.504134323161248574E+03
   2    0.305066960946126465E-02
   3    0.117134713952955121E+02
   4   -0.614294889045742920E+00
   5    0.164407210475563170E+01
   6   -0.250549768019012786E+01
   7    0.754114489517091147E+00
   8   -0.219250276767370966E+01
   9   -0.298817287062597181E+01
  10   -0.789958169696142853E+01

MAP Parameters
Dim No.        Parameter
   1    0.504134323161248574E+03
   2    0.305066960946126465E-02
   3    0.117134713952955121E+02
   4   -0.614294889045742920E+00
   5    0.164407210475563170E+01
   6   -0.250549768019012786E+01
   7    0.754114489517091147E+00
   8   -0.219250276767370966E+01
   9   -0.298817287062597181E+01
  10   -0.789958169696142853E+01
