Nested Sampling Global Log-Evidence           :    0.288221444552698340E+05  +/-    0.337511369170182429E+00
Nested Importance Sampling Global Log-Evidence:    0.288191854376206902E+05  +/-    0.363665495973087977E-01

Dim No.       Mean        Sigma
   1    0.505504585964770513E+03    0.987754401668643212E+01
   2    0.312949672584316996E-01    0.526582125133750190E-01
   3    0.110340049290368345E+02    0.585622435945410968E+00
   4   -0.520888355228458777E+00    0.290406126817205179E+00
   5    0.204503013920385035E+01    0.530361256254062829E+00
   6   -0.254127345043947717E+01    0.141427241912205770E+01
   7    0.766698100134740934E+00    0.326010467473385260E-01
   8   -0.224448965997449879E+01    0.524569911842340142E+00
   9   -0.298419334293326566E+01    0.801035338979666500E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.498233684458923790E+03
   2    0.189910945509954542E-01
   3    0.107309668209087459E+02
   4   -0.565500621580077301E+00
   5    0.242898151190679101E+01
   6   -0.418537117819779692E+01
   7    0.779644917660804460E+00
   8   -0.219509632042090708E+01
   9   -0.255149931847252009E+01

MAP Parameters
Dim No.        Parameter
   1    0.498233684458923790E+03
   2    0.189910945509954542E-01
   3    0.107309668209087459E+02
   4   -0.565500621580077301E+00
   5    0.242898151190679101E+01
   6   -0.418537117819779692E+01
   7    0.779644917660804460E+00
   8   -0.219509632042090708E+01
   9   -0.255149931847252009E+01
