Nested Sampling Global Log-Evidence           :    0.288152963418270883E+05  +/-    0.248469842846680250E+00
Nested Importance Sampling Global Log-Evidence:    0.288124399477057741E+05  +/-    0.413974872011142123E-01

Dim No.       Mean        Sigma
   1    0.543677662710608502E+03    0.262994262918525372E+02
   2   -0.879404089497443198E+00    0.564083385754308719E+00
   3    0.148374279161261868E+01    0.535709518426555009E+00
   4   -0.239759482380960742E+01    0.723189399046869075E+00
   5   -0.422740034204752124E+01    0.476562675135614844E+00
   6    0.198706160380884356E+01    0.501580070729721883E+00
   7   -0.222125031728400968E+01    0.593509443282111637E+00
   8   -0.318911038257349988E+01    0.958966124460457148E+00
   9   -0.573913011391984806E+01    0.134182494673935548E+01
  10   -0.647168691967937626E+01    0.999367007487082515E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.512116835712226134E+03
   2   -0.130382821454800180E+00
   3    0.137826424697681271E+01
   4   -0.159924756817957903E+01
   5   -0.474124703864034558E+01
   6    0.121625600481679941E+01
   7   -0.243678267020249351E+01
   8   -0.300638634633873547E+01
   9   -0.729311425027649030E+01
  10   -0.673078536210653766E+01

MAP Parameters
Dim No.        Parameter
   1    0.512116835712226134E+03
   2   -0.130382821454800180E+00
   3    0.137826424697681271E+01
   4   -0.159924756817957903E+01
   5   -0.474124703864034558E+01
   6    0.121625600481679941E+01
   7   -0.243678267020249351E+01
   8   -0.300638634633873547E+01
   9   -0.729311425027649030E+01
  10   -0.673078536210653766E+01
