Nested Sampling Global Log-Evidence           :   -0.175822047866713638E+11  +/-    0.533247423168453665E+02
Nested Importance Sampling Global Log-Evidence:   -0.175822047905045547E+11  +/-    0.789457382294381560E+00

Dim No.       Mean        Sigma
   1    0.545728949817151488E+03    0.127011871606560316E+02
   2    0.684826010786943828E+00    0.280186627984771230E+00
   3    0.701251173302062325E+00    0.358480237420076342E+00
   4   -0.485414080214018773E+00    0.146140600513803481E+00
   5   -0.226700117198308709E+00    0.978031699267390003E-01
   6   -0.213119458127154049E+01    0.260109903986882740E+01
   7   -0.636925859580116493E+00    0.272584821253664955E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.557839627725605396E+03
   2    0.478445929424142657E+00
   3    0.891223167232026103E+00
   4   -0.570048244942218396E+00
   5   -0.184436541442772217E+00
   6   -0.127899134629868350E+00
   7   -0.883833924052003006E+00

MAP Parameters
Dim No.        Parameter
   1    0.557839627725605396E+03
   2    0.478445929424142657E+00
   3    0.891223167232026103E+00
   4   -0.570048244942218396E+00
   5   -0.184436541442772217E+00
   6   -0.127899134629868350E+00
   7   -0.883833924052003006E+00
