Nested Sampling Global Log-Evidence           :    0.288144663543797942E+05  +/-    0.252684223360114757E+00
Nested Importance Sampling Global Log-Evidence:    0.288111779824395962E+05  +/-    0.938452891551005142E-01

Dim No.       Mean        Sigma
   1    0.650439974594851705E-03    0.354756769898753165E-02
   2    0.440308153013401187E-02    0.322278377782887204E-01
   3   -0.456041395872331101E+01    0.753734339421073152E+00
   4    0.221485098919680922E+03    0.631112205378705653E+02
   5    0.359162613298111208E-01    0.169417919857719079E+01
   6   -0.272255650588989262E+00    0.837835193050278093E-01
   7   -0.104418334670227031E+01    0.258598430679985447E+00
   8   -0.157287362402659681E+01    0.560902717438796383E+00
   9   -0.511367715345582141E+01    0.158226367052921102E+01
  10   -0.620993408388230073E+01    0.103949624646582883E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.586956912701675003E-03
   2    0.101181548935682868E-05
   3   -0.363984200230900878E+01
   4    0.271151659410627531E+03
   5   -0.933416592019239211E+00
   6   -0.236702022461177553E+00
   7   -0.924775176623193751E+00
   8   -0.875482976738974905E+00
   9   -0.628929228747649649E+01
  10   -0.566047832264454698E+01

MAP Parameters
Dim No.        Parameter
   1    0.586956912701675003E-03
   2    0.101181548935682868E-05
   3   -0.363984200230900878E+01
   4    0.271151659410627531E+03
   5   -0.933416592019239211E+00
   6   -0.236702022461177553E+00
   7   -0.924775176623193751E+00
   8   -0.875482976738974905E+00
   9   -0.628929228747649649E+01
  10   -0.566047832264454698E+01
