Nested Sampling Global Log-Evidence           :    0.288201461182715575E+05  +/-    0.317362063990905219E+00
Nested Importance Sampling Global Log-Evidence:    0.288160118974636025E+05  +/-    0.764692785350681581E-01

Dim No.       Mean        Sigma
   1    0.190872145710679099E-01    0.532500625313006917E-01
   2    0.491311898953335630E-01    0.132603101649210686E+00
   3   -0.162286364242098691E+00    0.656909908767055906E+00
   4   -0.303174641314568527E+01    0.151054077554798072E+01
   5    0.463181724520165403E+03    0.206802213679672313E+02
   6    0.805657399981928868E+00    0.108330216526984033E+00
   7    0.102834696259890457E+01    0.510035189999575311E+00
   8   -0.518289869279050652E+01    0.437543136281003997E+00
   9    0.708159199984374932E+00    0.482601763289044472E-01
  10   -0.204232908417281855E+01    0.502812282714259706E+00
  11   -0.257121711643170592E+01    0.884222439420744521E+00
  12   -0.565168682437738035E+01    0.139827325478684772E+01
  13   -0.645764434403794763E+01    0.941576932357644947E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.119428483297942908E+00
   2    0.174771910691681287E-02
   3   -0.306920308176355405E+00
   4   -0.393822226623442795E+01
   5    0.493890019540960452E+03
   6    0.655999393836329769E+00
   7    0.582854977414189457E+00
   8   -0.521872595970735453E+01
   9    0.680359695910656814E+00
  10   -0.178484163195539125E+01
  11   -0.153723710809849123E+01
  12   -0.593429013669436856E+01
  13   -0.664523220063278686E+01

MAP Parameters
Dim No.        Parameter
   1    0.119428483297942908E+00
   2    0.174771910691681287E-02
   3   -0.306920308176355405E+00
   4   -0.393822226623442795E+01
   5    0.493890019540960452E+03
   6    0.655999393836329769E+00
   7    0.582854977414189457E+00
   8   -0.521872595970735453E+01
   9    0.680359695910656814E+00
  10   -0.178484163195539125E+01
  11   -0.153723710809849123E+01
  12   -0.593429013669436856E+01
  13   -0.664523220063278686E+01
