Nested Sampling Global Log-Evidence           :    0.288211621646453968E+05  +/-    0.296998547723618722E+00
Nested Importance Sampling Global Log-Evidence:    0.288169631065801368E+05  +/-    0.629910591870351255E-01

Dim No.       Mean        Sigma
   1    0.746557420153459855E-01    0.173125696388365169E+00
   2    0.328585298129680098E-01    0.115050076327919706E+00
   3   -0.294444208742721480E+01    0.163411258279569704E+01
   4    0.415624247772231058E+03    0.247219206061429482E+02
   5    0.135300302186003929E+01    0.397930217625171945E+00
   6    0.128509288837459912E+01    0.381465619497514952E+00
   7   -0.496906490303706061E+01    0.620271886203493272E+00
   8    0.697287763753551060E+00    0.625773652707764805E-01
   9   -0.193450836650365798E+01    0.542681315367072092E+00
  10   -0.230253557553602661E+01    0.882841728375619916E+00
  11   -0.566899409686073152E+01    0.138640558003196168E+01
  12   -0.634614711533257925E+01    0.935571155337535099E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.225550233640936203E-01
   2    0.591536488216290945E-05
   3   -0.192960448029167786E+01
   4    0.380912540352722829E+03
   5    0.194904496772854685E+01
   6    0.909601200260412468E+00
   7   -0.589619755699178505E+01
   8    0.661987341711877675E+00
   9   -0.139312392182892442E+01
  10   -0.119079265727984307E+01
  11   -0.602655930422261754E+01
  12   -0.677911479756637370E+01

MAP Parameters
Dim No.        Parameter
   1    0.225550233640936203E-01
   2    0.591536488216290945E-05
   3   -0.192960448029167786E+01
   4    0.380912540352722829E+03
   5    0.194904496772854685E+01
   6    0.909601200260412468E+00
   7   -0.589619755699178505E+01
   8    0.661987341711877675E+00
   9   -0.139312392182892442E+01
  10   -0.119079265727984307E+01
  11   -0.602655930422261754E+01
  12   -0.677911479756637370E+01
