Nested Sampling Global Log-Evidence           :    0.287765624435365062E+05  +/-    0.591968346128173173E+00
Nested Importance Sampling Global Log-Evidence:    0.287739168594695366E+05  +/-    0.293591693158626946E-01

Dim No.       Mean        Sigma
   1    0.671851162925758971E+00    0.168561583739908899E-01
   2    0.638526036668913000E-01    0.156645607528712483E+00
   3    0.572294819999770166E+00    0.178399101945561883E+00
   4   -0.207453748922122738E+01    0.790559861403868247E+00
   5    0.434445871927302392E+03    0.323518130197670288E+02
   6    0.152736531037503265E+01    0.271894980521215746E+00
   7    0.135344080955988322E+00    0.913980743041379641E-02
   8    0.134094182025876502E+00    0.194399034691683265E+00
   9    0.944873671082645750E+01    0.155768785887223893E+01
  10   -0.220654274598549405E+01    0.884142961845240216E+00
  11    0.247543216460572335E+01    0.294911896960262654E+00
  12   -0.249734877866772464E+01    0.118273722232861744E+01
  13    0.322826064427897519E+00    0.165319280292691828E+00
  14   -0.769588531350713256E+00    0.140899041090001953E+00
  15   -0.192548467047891725E+01    0.438572395253924940E+00
  16   -0.599511316265859318E+01    0.123481589107579848E+01
  17   -0.987439249394614915E+00    0.114801836421923348E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.681749303573389920E+00
   2    0.160642556532040459E+00
   3    0.336783021391525050E+00
   4   -0.254925055177108728E+01
   5    0.457091977844885548E+03
   6    0.194732975713935219E+01
   7    0.134418450524614930E+00
   8    0.257901620052473968E+00
   9    0.849676587143288486E+01
  10   -0.123248694994074270E+01
  11    0.294845968249838108E+01
  12   -0.922884406000461510E+00
  13    0.204328522263952400E+00
  14   -0.529438350039344030E+00
  15   -0.147606679749913106E+01
  16   -0.273534830524684569E+01
  17   -0.110116219346350253E+01

MAP Parameters
Dim No.        Parameter
   1    0.681749303573389920E+00
   2    0.160642556532040459E+00
   3    0.336783021391525050E+00
   4   -0.254925055177108728E+01
   5    0.457091977844885548E+03
   6    0.194732975713935219E+01
   7    0.134418450524614930E+00
   8    0.257901620052473968E+00
   9    0.849676587143288486E+01
  10   -0.123248694994074270E+01
  11    0.294845968249838108E+01
  12   -0.922884406000461510E+00
  13    0.204328522263952400E+00
  14   -0.529438350039344030E+00
  15   -0.147606679749913106E+01
  16   -0.273534830524684569E+01
  17   -0.110116219346350253E+01
