Nested Sampling Global Log-Evidence           :    0.288154813284929478E+05  +/-    0.331782635156601502E+00
Nested Importance Sampling Global Log-Evidence:    0.288098495284768906E+05  +/-    0.495081946687549665E-01

Dim No.       Mean        Sigma
   1    0.226413634383539828E-03    0.890713131255532059E-03
   2    0.363813936191625421E-02    0.195029526074917622E-01
   3   -0.360981394568270142E+01    0.126921116198867745E+01
   4    0.306723419015376010E+03    0.977030175696395133E+02
   5    0.119494919118235199E+01    0.417139326562782353E+00
   6    0.398750772042977153E+00    0.576276342626624999E-01
   7    0.122180802674288200E+00    0.189203443388851561E+00
   8    0.804237369371024791E+01    0.201751133890606793E+01
   9   -0.300308107192059603E+01    0.152967612194509894E+01
  10    0.202169875619588746E+01    0.478786230674177526E+00
  11   -0.237717485353204472E+01    0.127261066639572551E+01
  12    0.533077668671129712E+00    0.256659159112770541E+00
  13   -0.114586714912792820E+01    0.372775589428218923E+00
  14   -0.149251405516858249E+01    0.646530447653966278E+00
  15   -0.529061109141989938E+01    0.152417887198752067E+01
  16   -0.616293014745871126E+01    0.101568771566907046E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.388919549984622834E-03
   2    0.122157445049755133E-05
   3   -0.526507215901570369E+01
   4    0.183619151631345460E+03
   5    0.130950031569237790E+01
   6    0.311509529581791011E+00
   7    0.777203954219592430E+00
   8    0.478136784098702083E+01
   9   -0.259285064669069687E+01
  10    0.250891213059155538E+01
  11   -0.333533807789311210E+01
  12    0.876701968035948132E+00
  13   -0.755618703473019515E+00
  14   -0.944120898168589129E+00
  15   -0.245346835753392600E+01
  16   -0.598278150157072908E+01

MAP Parameters
Dim No.        Parameter
   1    0.388919549984622834E-03
   2    0.122157445049755133E-05
   3   -0.526507215901570369E+01
   4    0.183619151631345460E+03
   5    0.130950031569237790E+01
   6    0.311509529581791011E+00
   7    0.777203954219592430E+00
   8    0.478136784098702083E+01
   9   -0.259285064669069687E+01
  10    0.250891213059155538E+01
  11   -0.333533807789311210E+01
  12    0.876701968035948132E+00
  13   -0.755618703473019515E+00
  14   -0.944120898168589129E+00
  15   -0.245346835753392600E+01
  16   -0.598278150157072908E+01
